time_step,topic_name,member_id,interest,status,is_intervening
0,amp.audio.asking,0,4.1397,active,0
0,amp.audio.asking,1,4.7631,active,0
0,amp.audio.asking,2,6.0529,active,0
0,amp.audio.asking,3,5.3749,active,0
1,bike.bikes.miles,0,4.3986,at_risk,0
1,bike.bikes.miles,1,4.7201,at_risk,0
1,bike.bikes.miles,2,6.0050,active,0
1,bike.bikes.miles,3,5.4287,active,0
2,moral.morality.objective,0,4.6954,at_risk,0
2,moral.morality.objective,1,4.9663,at_risk,0
2,moral.morality.objective,2,5.8790,active,0
2,moral.morality.objective,3,5.6463,active,0
3,key.clipper.encryption,0,4.4030,at_risk,0
3,key.clipper.encryption,1,4.9226,at_risk,0
3,key.clipper.encryption,2,6.0544,active,0
3,key.clipper.encryption,3,5.5752,active,0
4,bike.riding.ride,0,4.4436,at_risk,0
4,bike.riding.ride,1,4.7475,at_risk,0
4,bike.riding.ride,2,5.9830,active,0
4,bike.riding.ride,3,5.4494,active,0
5,card.monitor.video,0,4.1152,at_risk,0
5,card.monitor.video,1,4.7544,at_risk,0
5,card.monitor.video,2,6.1301,active,0
5,card.monitor.video,3,5.4158,active,0
6,patients.medical.doctor,0,4.5685,at_risk,0
6,patients.medical.doctor,1,4.9174,at_risk,0
6,patients.medical.doctor,2,5.9560,active,0
6,patients.medical.doctor,3,5.6005,active,0
7,key.clipper.encryption,0,4.4030,at_risk,0
7,key.clipper.encryption,1,4.9226,at_risk,0
7,key.clipper.encryption,2,6.0544,active,0
7,key.clipper.encryption,3,5.5752,active,0
8,moral.morality.objective,0,4.6954,at_risk,0
8,moral.morality.objective,1,4.9663,at_risk,0
8,moral.morality.objective,2,5.8790,active,0
8,moral.morality.objective,3,5.6463,active,0
9,amp.audio.asking,0,4.1397,at_risk,0
9,amp.audio.asking,1,4.7631,at_risk,0
9,amp.audio.asking,2,6.0529,active,0
9,amp.audio.asking,3,5.3749,active,0
10,printer.print.hp,0,4.0861,at_risk,0
10,printer.print.hp,1,4.8663,at_risk,0
10,printer.print.hp,2,6.0475,active,0
10,printer.print.hp,3,5.4236,active,0
11,scsi.drive.drives,0,4.1421,at_risk,0
11,scsi.drive.drives,1,4.7354,at_risk,0
11,scsi.drive.drives,2,6.1812,active,0
11,scsi.drive.drives,3,5.4443,active,0
12,window.widget.event,0,4.1848,at_risk,0
12,window.widget.event,1,4.9114,at_risk,0
12,window.widget.event,2,6.0692,active,0
12,window.widget.event,3,5.5117,active,0
13,god.atheists.atheism,0,4.7876,at_risk,0
13,god.atheists.atheism,1,5.0766,at_risk,0
13,god.atheists.atheism,2,5.7678,active,0
13,god.atheists.atheism,3,5.6974,active,0
